time,action,category,source,target
2026-07-22 10:32:09,copied,立足岗位做贡献,D:\DingTalkDownload\附件2：党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\附件2：党员先锋岗申报表.xlsx
2026-07-22 10:32:09,copied,立足岗位做贡献,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\数字化与稽核中心李中华-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\数字化与稽核中心李中华-党员先锋岗申报表.xlsx
2026-07-22 10:32:09,copied,立足岗位做贡献,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\数字化与稽核中心崔有生-党员先锋岗申报表.xlsx,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\数字化与稽核中心崔有生-党员先锋岗申报表.xlsx
2026-07-22 10:32:09,copied,立足岗位做贡献,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\数字化与稽核中心党支部：党员先锋岗打分表.xlsx,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\6.立足岗位做贡献 服务发展当先锋\过程附件\数字化与稽核中心党支部：党员先锋岗打分表.xlsx
2026-07-22 10:32:09,copied,待归档,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\IMG_20260722_084309.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\IMG_20260722_084309.jpg
2026-07-22 10:32:09,copied,待归档,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\IMG_20260722_084303.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\IMG_20260722_084303.jpg
2026-07-22 10:32:09,copied,待归档,D:\DingTalkDownload\2026.7.22反馈二季度党员先锋岗\IMG_20260722_084257.jpg,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\IMG_20260722_084257.jpg
2026-07-22 10:32:09,copied,待归档,D:\DingTalkDownload\孟州KPI画像.docx,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\孟州KPI画像.docx
2026-07-22 10:32:09,copied,待归档,D:\DingTalkDownload\市场部党支部贯彻落实特色亮点（2021-2026）.docx,E:\sl_obsidian\200督导考核岗\999待归档\2026-07\市场部党支部贯彻落实特色亮点（2021-2026）.docx
2026-07-22 10:32:09,copied,党业融合案例,D:\DingTalkDownload\2026年党建品牌考核指标(市场线)(0721).xlsx,E:\sl_obsidian\200督导考核岗\210本岗位特定技能\215立足岗位做贡献、党建本地化融合品牌与五星支部建设\4.党业融合案例\2026年党建品牌考核指标(市场线)(0721).xlsx
