num	source	best	group	local	diffs
1	group	0.964	0.964	0.000	issue,leader,measure,target
2	local	0.982	0.305	0.982	issue,measure,deadline
3	local	1.000	0.544	1.000	measure,target,deadline
4	local	0.986	0.344	0.986	issue,measure,deadline
5	group	0.963	0.963	0.000	issue,leader,coordDept,measure,deadline
6	local	0.976	0.463	0.976	issue,measure,deadline
7	local	1.000	0.290	1.000	measure,target,deadline
8	local	0.931	0.249	0.931	issue,measure,target,deadline
9	group	0.990	0.990	0.000	issue,leader,measure,target
10	local	0.970	0.403	0.970	issue,measure,target,deadline
11	group	0.986	0.986	0.000	issue,leader,coordDept,measure,target
12	group	0.990	0.990	0.000	issue,leader,measure,target
13	local	1.000	0.213	1.000	respDept,coordDept,measure,deadline
14	local	0.987	0.450	0.987	issue,measure,deadline
15	local	0.962	0.407	0.962	issue,measure,deadline
16	local	0.978	0.276	0.978	issue,measure,target,deadline
17	group	0.988	0.988	0.000	issue,leader,coordDept,measure,target
18	group	0.986	0.986	0.000	issue,leader,respDept,coordDept,measure,target
19	local	0.981	0.535	0.981	issue,measure
20	group	0.985	0.985	0.000	issue,leader,measure,target
21	group	0.960	0.960	0.000	issue,leader,measure,target,deadline
22	local	0.980	0.386	0.980	issue,respDept,coordDept,deadline
23	local	0.991	0.253	0.991	issue,measure,deadline
24	group	0.944	0.944	0.000	issue,leader,coordDept,measure,target,deadline
25	group	0.988	0.988	0.000	issue,leader,measure,target,deadline
26	local	0.988	0.177	0.988	issue,measure,deadline
27	group	0.980	0.980	0.000	issue,leader,respDept,coordDept,measure
28	group	1.000	1.000	0.090	leader,respDept,coordDept,measure,target,deadline
29	local	1.000	0.237	1.000	measure,target,deadline
30	group	0.991	0.991	0.000	issue,leader,coordDept,measure,target,deadline
31	group	0.980	0.980	0.000	issue,leader,coordDept,measure,target
32	group	0.969	0.969	0.000	issue,leader,respDept,coordDept,measure,deadline
33	group	0.985	0.985	0.000	issue,leader,respDept,measure
34	local	0.971	0.614	0.971	issue,deadline
35	local	0.980	0.450	0.980	issue,measure,target,deadline
36	local	1.000	0.111	1.000	measure,deadline
37	group	0.960	0.960	0.000	issue,leader,respDept,measure,target,deadline
38	group	0.979	0.979	0.000	issue,leader,coordDept,measure,target
39	group	0.986	0.986	0.000	issue,leader,measure,target,deadline
40	group	0.941	0.941	0.000	issue,leader,measure,target,deadline
41	group	0.978	0.978	0.000	issue,leader,coordDept,measure,target,deadline
42	local	1.000	0.589	1.000	measure,deadline
43	group	0.965	0.965	0.000	issue,leader,measure,target
44	local	1.000	0.495	1.000	measure,deadline
45	local	0.962	0.411	0.962	issue,measure,deadline
46	local	0.951	0.309	0.951	issue,measure,target,deadline
47	local	0.984	0.393	0.984	issue,measure,target
48	local	0.975	0.368	0.975	issue,measure,target
49	local	0.989	0.339	0.989	issue,measure,target,deadline
50	group	0.982	0.982	0.000	issue,leader,coordDept,measure,target,deadline
51	local	0.988	0.242	0.988	issue,measure,deadline
